Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,Pearson q (BH-FDR),Pearson q (BY-FDR),Pearson p (Holm),Spearman q (BH-FDR),Spearman q (BY-FDR),Spearman p (Holm)
All 35 participants,Neutral Angry,LOT,Social Phobia,Social Phobia Raw,35,-0.046910583211778614,-0.3743056856822056,0.2908832784852369,0.7890110986275851,0.11908482214793834,0.49564373146755625,P25,0.25078359322403965,-0.10402142022463773,0.25078359322403965,0.9462356992894889,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Angry,LOT,Panic Disorder,Panic Disorder Raw,35,0.0972325049309158,-0.24391755283767963,0.41696827810474835,0.5784407822555797,0.11926761418896255,0.4949775830163293,P8,0.006809435229506597,0.006809435229506597,0.17133118412133444,0.8555444119083815,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Angry,LOT,Major Depression,Major Depression Raw,35,0.10934109867730751,-0.23237253000974206,0.4270277993046071,0.5318022619333566,0.007737291976233877,0.9648146322293657,P25,-0.12290330248971906,-0.12290330248971906,0.2004665093595793,0.8396877820000367,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Angry,LOT,Separation Anxiety,Separation Anxiety Raw,35,0.09704105109671071,-0.24409932258619543,0.4168085914429836,0.579192671526045,0.19424595216277432,0.26351115802668595,P27,0.31313253389011664,0.017699646192611045,0.31313253389011664,0.8555444119083815,1.0,1.0,0.9677962075942814,1.0,1.0
All 35 participants,Neutral Angry,LOT,Generalized Anxiety,Generalized Anxiety Raw,35,0.09916608739347182,-0.24208043006197882,0.41857992337548583,0.5708717486530265,0.06007772999800814,0.7317290075329385,P27,0.2409215841308931,0.028590066393427618,0.2409215841308931,0.8555444119083815,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Angry,LOT,Obsessive Compulsive,Obsessive Compulsive Raw,35,0.1905148602646562,-0.15240781552681237,0.49249375501526865,0.27297092209120327,0.17861993719448285,0.30459097155416703,P30,0.2626005231704102,0.15349573260225938,0.2626005231704102,0.7108273625444959,1.0,1.0,0.9677962075942814,1.0,1.0
All 35 participants,Neutral Angry,ROT,Social Phobia,Social Phobia Raw,35,-0.22630932404305584,-0.5203153498055896,0.1156599217298706,0.19111869304007362,0.05027401689736075,0.7742618150205295,P27,0.1167309567985236,-0.2644162595103997,0.1167309567985236,0.6357688508447555,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Angry,ROT,Panic Disorder,Panic Disorder Raw,35,-0.19126636147580817,-0.4930842791327831,0.1516459202636769,0.2710479925155753,0.13030305180075266,0.4556212150661364,P27,0.07008196548399856,-0.22943093271301976,0.07008196548399856,0.7108273625444959,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Angry,ROT,Major Depression,Major Depression Raw,35,-0.2933724594521643,-0.5708132427645136,0.044194806171999966,0.0871830308652857,-0.01617797413212538,0.9265072402794512,P27,0.08832990408699247,-0.3343750177491683,0.08832990408699247,0.49040454861723204,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Angry,ROT,Separation Anxiety,Separation Anxiety Raw,35,-0.5723434882191435,-0.7605325302760111,-0.29544822346452604,0.0003274823790717373,-0.04101380808128959,0.8150415101034002,P27,0.09305077358047882,-0.6340349133543345,0.09305077358047882,0.011789365646582544,0.0680593915480882,0.057636898716625765,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Angry,ROT,Generalized Anxiety,Generalized Anxiety Raw,35,-0.427176363762613,-0.6656624927823066,-0.10952063425478155,0.010485191357537602,0.01459435422121424,0.933684575019829,P27,0.10233725181392839,-0.530992998064283,0.10233725181392839,0.17157585857788804,0.9904984618520907,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Angry,ROT,Obsessive Compulsive,Obsessive Compulsive Raw,35,-0.04293855407764059,-0.3708781568156791,0.2945223475018815,0.8065221417285655,-0.04711011889352495,0.7881340272593126,P30,-0.08986817839077905,-0.08986817839077905,0.003324902249807086,0.9482816812643495,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Angry,O,Social Phobia,Social Phobia Raw,35,-0.00682264428034276,-0.33929775378877325,0.32716775629471934,0.9689718620346186,-0.08467941952264954,0.6286367180060568,P4,-0.09516643125456091,-0.09516643125456091,0.03871894434170785,0.9793845959792696,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Angry,O,Panic Disorder,Panic Disorder Raw,35,0.0269806593426068,-0.30904457031086674,0.357017186867969,0.8777275382539979,-0.14897840775916674,0.3930271984820194,P4,-0.20813665629016637,-0.20813665629016637,0.07400998106200884,0.9793845959792696,1.0,1.0,0.9801851177210915,1.0,1.0
All 35 participants,Neutral Angry,O,Major Depression,Major Depression Raw,35,-0.06808624528281981,-0.3924287748130446,0.27131633283157497,0.6975525113390711,-0.1931509433339839,0.26626477211038474,P4,-0.20569978742989584,-0.20569978742989584,-0.04142911398635499,0.9053592936229887,1.0,1.0,0.9677962075942814,1.0,1.0
All 35 participants,Neutral Angry,O,Separation Anxiety,Separation Anxiety Raw,35,0.022658064197274258,-0.3129514899377579,0.3532374114051471,0.8972032688952347,-0.09669574891387372,0.5805498686440236,P4,-0.10678534796206868,-0.10678534796206868,0.09767047481780265,0.9793845959792696,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Angry,O,Generalized Anxiety,Generalized Anxiety Raw,35,-0.09048575519834523,-0.4113290565474231,0.25030861156811396,0.6051965974084774,-0.17244008822541487,0.3218977579822771,P16,-0.20020189922274775,-0.20020189922274775,-0.013753553335371146,0.8555444119083815,1.0,1.0,0.9677962075942814,1.0,1.0
All 35 participants,Neutral Angry,O,Obsessive Compulsive,Obsessive Compulsive Raw,35,-0.1377121252845623,-0.45029374865235544,0.20493952225393286,0.430172120843103,-0.2590344905927959,0.132943701952812,P4,-0.2915066165906692,-0.2915066165906692,-0.046008545471388815,0.8237338484229632,1.0,1.0,0.7408551343847037,1.0,1.0
All 35 participants,Neutral Angry,Frontal,Social Phobia,Social Phobia Raw,35,-0.06199313424528037,-0.38723969481242043,0.276975445425284,0.7235057868805558,-0.03187765875894104,0.8557493553576966,P27,-0.008817402589512423,-0.09686529134641321,-0.008817402589512423,0.9110680839087415,1.0,1.0,0.9804540937228138,1.0,1.0
