Variant,Condition,RCADS Scale,N Participants,Likelihood-Ratio Chi-Square,Degrees of Freedom,p,Converged,Warnings,LMM Omnibus q (BH-FDR),LMM Omnibus q (BY-FDR),LMM Omnibus p (Holm)
All 35 participants,Neutral Angry,Social Phobia,35,5.408659105335573,6,0.4925645020528435,True,,0.6157056275660544,1.0,1.0
All 35 participants,Neutral Angry,Panic Disorder,35,4.165277365686052,6,0.654321023674131,True,,0.7549857965470742,1.0,1.0
All 35 participants,Neutral Angry,Major Depression,35,9.95805231857912,6,0.12642967874874925,True,,0.2107161312479154,0.8418082326127543,1.0
All 35 participants,Neutral Angry,Separation Anxiety,35,35.015328568112864,6,4.280133177107591e-06,True,,2.5680799062645548e-05,0.00010259446176702142,0.00011128346260479738
All 35 participants,Neutral Angry,Generalized Anxiety,35,20.234024169973736,6,0.002515843078424028,True,,0.007547529235272084,0.030152282165157397,0.05462749090255852
All 35 participants,Neutral Angry,Obsessive Compulsive,35,3.6235379317422485,6,0.7274675261712036,True,,0.8082972513013373,1.0,1.0
All 35 participants,Neutral Happy,Social Phobia,35,14.377932114413397,6,0.025687884047303062,True,,0.051375768094606124,0.20524553237910187,0.411006144756849
All 35 participants,Neutral Happy,Panic Disorder,35,9.2775654040056,6,0.15855919604815466,True,,0.237838794072232,0.9501629215521918,1.0
All 35 participants,Neutral Happy,Major Depression,35,18.062169023041406,6,0.006078695360024025,True,,0.015196738400060061,0.06071077434020367,0.1161569419555609
All 35 participants,Neutral Happy,Separation Anxiety,35,69.25596546708039,6,5.809685911204761e-13,True,,1.7429057733614284e-11,6.962886134985758e-11,1.7429057733614284e-11
All 35 participants,Neutral Happy,Generalized Anxiety,35,39.4623820305535,6,5.808720186559249e-07,True,,4.356540139919437e-06,1.740432179431627e-05,1.5683544503709972e-05
All 35 participants,Neutral Happy,Obsessive Compulsive,35,1.1163274305470168,6,0.9808158004480817,True,,0.9808158004480817,1.0,1.0
All 35 participants,Neutral Sad,Social Phobia,35,20.265942679279306,6,0.0024830677682981146,True,,0.007547529235272084,0.030152282165157397,0.05462749090255852
All 35 participants,Neutral Sad,Panic Disorder,35,9.309161987747757,6,0.15692298705833058,True,,0.237838794072232,0.9501629215521918,1.0
All 35 participants,Neutral Sad,Major Depression,35,17.07793389883318,6,0.009001053040736073,True,,0.02077166086323709,0.08298251783647492,0.16201895473324932
All 35 participants,Neutral Sad,Separation Anxiety,35,59.74978576231433,6,5.0598209394436447e-11,True,,7.589731409165467e-10,3.0320879306758323e-09,1.4673480724386569e-09
All 35 participants,Neutral Sad,Generalized Anxiety,35,28.34533311109044,6,8.088451449137226e-05,True,,0.0003466479192487382,0.0013848539763590402,0.0019412283477929341
All 35 participants,Neutral Sad,Obsessive Compulsive,35,2.6577681931366897,6,0.850409887856271,True,,0.9111534512745761,1.0,1.0
All 35 participants,Positive Valence,Social Phobia,35,13.250892694773029,6,0.039220317865661415,True,,0.07353809599811516,0.29378374714485833,0.5883047679849213
All 35 participants,Positive Valence,Panic Disorder,35,10.289405621456808,6,0.11298174837609674,True,,0.19937955595781778,0.7965187602201039,1.0
All 35 participants,Positive Valence,Major Depression,35,18.17567568085724,6,0.005807847097778045,True,,0.015196738400060061,0.06071077434020367,0.1161569419555609
All 35 participants,Positive Valence,Separation Anxiety,35,57.60654670960753,6,1.376841423922014e-10,True,,1.3768414239220139e-09,5.500463769886551e-09,3.8551559869816385e-09
All 35 participants,Positive Valence,Generalized Anxiety,35,33.06887840008244,6,1.0170640568174998e-05,True,,5.0853202840874986e-05,0.00020315789091537983,0.00025426601420437493
All 35 participants,Positive Valence,Obsessive Compulsive,35,1.1372875898991879,6,0.979868928346173,True,,0.9808158004480817,1.0,1.0
All 35 participants,Negative Valence,Social Phobia,35,6.038610833881876,6,0.4188788067368025,True,,0.5575980360214218,1.0,1.0
All 35 participants,Negative Valence,Panic Disorder,35,5.96172056265209,6,0.42749182761642335,True,,0.5575980360214218,1.0,1.0
All 35 participants,Negative Valence,Major Depression,35,7.781556927662223,6,0.2545478543203662,True,,0.36363979188623746,1.0,1.0
All 35 participants,Negative Valence,Separation Anxiety,35,26.331431020103082,6,0.00019311157847472013,True,,0.0007241684192802005,0.0028930435156433627,0.004441566304918563
All 35 participants,Negative Valence,Generalized Anxiety,35,15.837911528635459,6,0.014650914878913443,True,,0.03139481759767166,0.12542189228029132,0.24906555294152855
All 35 participants,Negative Valence,Obsessive Compulsive,35,4.421184145430971,6,0.6198749419020635,True,,0.7438499302824761,1.0,1.0
P27 omitted,Neutral Angry,Social Phobia,34,1.5785237637549017,6,0.9541089267882994,True,,0.9952253738122802,1.0,1.0
P27 omitted,Neutral Angry,Panic Disorder,34,0.7917364268819256,6,0.992293408946925,True,,0.9952253738122802,1.0,1.0
P27 omitted,Neutral Angry,Major Depression,34,2.359452720342915,6,0.8838536414709616,True,,0.9952253738122802,1.0,1.0
P27 omitted,Neutral Angry,Separation Anxiety,34,3.2533969026528666,6,0.7764364354147321,True,,0.9952253738122802,1.0,1.0
P27 omitted,Neutral Angry,Generalized Anxiety,34,3.7052275553980962,6,0.7164946561299379,True,,0.9952253738122802,1.0,1.0
P27 omitted,Neutral Angry,Obsessive Compulsive,34,5.301965377269653,6,0.5057072493467285,True,,0.9952253738122802,1.0,1.0
P27 omitted,Neutral Happy,Social Phobia,34,1.9430631971351886,6,0.9248598336341586,True,,0.9952253738122802,1.0,1.0
P27 omitted,Neutral Happy,Panic Disorder,34,9.369728494963056,6,0.1538275367070899,True,,0.9952253738122802,1.0,1.0
P27 omitted,Neutral Happy,Major Depression,34,2.1409762642147143,6,0.9062869892343826,True,,0.9952253738122802,1.0,1.0
P27 omitted,Neutral Happy,Separation Anxiety,34,2.727009642637995,6,0.8422467315695517,True,,0.9952253738122802,1.0,1.0
P27 omitted,Neutral Happy,Generalized Anxiety,34,1.9913873455459452,6,0.9204889995790909,True,,0.9952253738122802,1.0,1.0
P27 omitted,Neutral Happy,Obsessive Compulsive,34,2.7307861031940774,6,0.8417976069765056,True,,0.9952253738122802,1.0,1.0
P27 omitted,Neutral Sad,Social Phobia,34,7.331486850675901,6,0.29127613564761956,True,,0.9952253738122802,1.0,1.0
P27 omitted,Neutral Sad,Panic Disorder,34,5.74833812141037,6,0.45196363119910343,True,,0.9952253738122802,1.0,1.0
P27 omitted,Neutral Sad,Major Depression,34,2.0031737387166686,6,0.9194064831504749,True,,0.9952253738122802,1.0,1.0
P27 omitted,Neutral Sad,Separation Anxiety,34,5.186989383345463,6,0.5200639221171037,True,,0.9952253738122802,1.0,1.0
P27 omitted,Neutral Sad,Generalized Anxiety,34,4.365162952037508,6,0.6273880183349556,True,,0.9952253738122802,1.0,1.0
P27 omitted,Neutral Sad,Obsessive Compulsive,34,5.096525248806074,6,0.5314940688802867,True,,0.9952253738122802,1.0,1.0
P27 omitted,Positive Valence,Social Phobia,34,3.2636314174887957,6,0.7751047280226083,True,,0.9952253738122802,1.0,1.0
P27 omitted,Positive Valence,Panic Disorder,34,5.058131271780212,6,0.536379287575613,True,,0.9952253738122802,1.0,1.0
P27 omitted,Positive Valence,Major Depression,34,2.0004972137853656,6,0.9196528685624683,True,,0.9952253738122802,1.0,1.0
P27 omitted,Positive Valence,Separation Anxiety,34,0.7872864283797298,6,0.9924102288459558,True,,0.9952253738122802,1.0,1.0
P27 omitted,Positive Valence,Generalized Anxiety,34,0.6645004959448215,6,0.9952253738122802,True,,0.9952253738122802,1.0,1.0
P27 omitted,Positive Valence,Obsessive Compulsive,34,0.9485355885249191,6,0.9874881747712599,True,,0.9952253738122802,1.0,1.0
P27 omitted,Negative Valence,Social Phobia,34,2.202556247116263,6,0.9001587494109412,True,,0.9952253738122802,1.0,1.0
P27 omitted,Negative Valence,Panic Disorder,34,3.002511282603564,6,0.8085315717655861,True,,0.9952253738122802,1.0,1.0
P27 omitted,Negative Valence,Major Depression,34,1.8108617475877509,6,0.9362458505508121,True,,0.9952253738122802,1.0,1.0
P27 omitted,Negative Valence,Separation Anxiety,34,4.717834025550019,6,0.5804781732172974,True,,0.9952253738122802,1.0,1.0
P27 omitted,Negative Valence,Generalized Anxiety,34,2.861617511287932,6,0.8260041692521889,True,,0.9952253738122802,1.0,1.0
P27 omitted,Negative Valence,Obsessive Compulsive,34,5.227372183735724,6,0.5149992067798126,True,,0.9952253738122802,1.0,1.0
