Variant,Condition,ROI,RCADS Scale,N,Partial Pearson r,Partial Pearson p,Degrees of Freedom,Covariates,Partial Pearson q (BH-FDR),Partial Pearson q (BY-FDR),Partial Pearson p (Holm)
All 35 participants,Neutral Angry,LOT,Social Phobia,35,-0.009333308376463262,0.9588876853545727,31,Age; Sex,0.9963691039633393,1.0,1.0
All 35 participants,Neutral Angry,LOT,Panic Disorder,35,0.16033500141994278,0.3727542307877758,31,Age; Sex,0.7595016988918457,1.0,1.0
All 35 participants,Neutral Angry,LOT,Major Depression,35,0.13731547902017424,0.4460466739360275,31,Age; Sex,0.8016286987902492,1.0,1.0
All 35 participants,Neutral Angry,LOT,Separation Anxiety,35,0.16597639244735815,0.35594308408448583,31,Age; Sex,0.7566773698857667,1.0,1.0
All 35 participants,Neutral Angry,LOT,Generalized Anxiety,35,0.11834557297414405,0.5118619939730573,31,Age; Sex,0.825600923259464,1.0,1.0
All 35 participants,Neutral Angry,LOT,Obsessive Compulsive,35,0.20671205323674471,0.24841723075178507,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Neutral Angry,ROT,Social Phobia,35,-0.2179764578818943,0.22298986337285065,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Neutral Angry,ROT,Panic Disorder,35,-0.17086768233725003,0.34174175081113767,31,Age; Sex,0.7566773698857667,1.0,1.0
All 35 participants,Neutral Angry,ROT,Major Depression,35,-0.2809804904477887,0.1131999826916377,31,Age; Sex,0.636749902640462,1.0,1.0
All 35 participants,Neutral Angry,ROT,Separation Anxiety,35,-0.62403191538257,0.00010420384063545043,31,Age; Sex,0.006252230438127026,0.03609379946245973,0.018548283633110178
All 35 participants,Neutral Angry,ROT,Generalized Anxiety,35,-0.42156926120167176,0.01454727736780258,31,Age; Sex,0.18703642330031886,1.0,1.0
All 35 participants,Neutral Angry,ROT,Obsessive Compulsive,35,-0.02906060074882913,0.8724579325294277,31,Age; Sex,0.9693977028104752,1.0,1.0
All 35 participants,Neutral Angry,O,Social Phobia,35,-0.05882383361729601,0.7450528692978831,31,Age; Sex,0.8946303864936043,1.0,1.0
All 35 participants,Neutral Angry,O,Panic Disorder,35,-0.11369941885761875,0.5286833439458942,31,Age; Sex,0.8347631746514119,1.0,1.0
All 35 participants,Neutral Angry,O,Major Depression,35,-0.13829081504990437,0.44279175750454536,31,Age; Sex,0.8016286987902492,1.0,1.0
All 35 participants,Neutral Angry,O,Separation Anxiety,35,-0.05243100614318473,0.7719853196902842,31,Age; Sex,0.9082180231650402,1.0,1.0
All 35 participants,Neutral Angry,O,Generalized Anxiety,35,-0.12599535090480807,0.4847569332856547,31,Age; Sex,0.8154789531908211,1.0,1.0
All 35 participants,Neutral Angry,O,Obsessive Compulsive,35,-0.174857697813025,0.330416401300487,31,Age; Sex,0.7566773698857667,1.0,1.0
All 35 participants,Neutral Angry,Frontal,Social Phobia,35,-0.12102116200236443,0.5022970775637423,31,Age; Sex,0.825600923259464,1.0,1.0
All 35 participants,Neutral Angry,Frontal,Panic Disorder,35,0.006550855335645138,0.9711379565812086,31,Age; Sex,0.9963691039633393,1.0,1.0
All 35 participants,Neutral Angry,Frontal,Major Depression,35,0.039474011720891905,0.8273494639310185,31,Age; Sex,0.9425500221998945,1.0,1.0
All 35 participants,Neutral Angry,Frontal,Separation Anxiety,35,-0.061652805240986874,0.7332264914412723,31,Age; Sex,0.891761949050196,1.0,1.0
All 35 participants,Neutral Angry,Frontal,Generalized Anxiety,35,0.005961160934435191,0.9737351213160803,31,Age; Sex,0.9963691039633393,1.0,1.0
