Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,Pearson q (BH-FDR),Pearson q (BY-FDR),Pearson p (Holm),Spearman q (BH-FDR),Spearman q (BY-FDR),Spearman p (Holm)
All 35 participants; T scores,Neutral Angry,LOT,Social Phobia,Social Phobia T,35,-0.04462086063886567,-0.3723309381169127,0.29298225612798956,0.7990937201659034,0.12677053989404313,0.468033206685719,P25,0.2599759260661023,-0.09798512183048477,0.2599759260661023,0.9397045357055679,1.0,1.0,0.96834456555666,1.0,1.0
All 35 participants; T scores,Neutral Angry,LOT,Panic Disorder,Panic Disorder T,35,0.10934312076837308,-0.23237059395775242,0.42702947266658736,0.5317946281009671,0.12046296066404698,0.4906326586520533,P35,0.20353578503859746,0.030495391436867487,0.20353578503859746,0.8453057128874474,1.0,1.0,0.9812653173041066,1.0,1.0
All 35 participants; T scores,Neutral Angry,LOT,Major Depression,Major Depression T,35,0.1031635524494366,-0.23827461049270823,0.42190545274627234,0.5553679610804045,-0.0060338282681981735,0.9725578152968349,P25,-0.12589206449914592,-0.12589206449914592,0.1885368714121726,0.8453057128874474,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Angry,LOT,Separation Anxiety,Separation Anxiety T,35,0.12411061018837927,-0.2181588609436713,0.43919240629067685,0.4774957910133029,0.23028933984581423,0.18322153700830882,P27,0.3435157862584963,0.03555492269836201,0.3435157862584963,0.8149014905509329,1.0,1.0,0.7857134098506081,1.0,1.0
All 35 participants; T scores,Neutral Angry,LOT,Generalized Anxiety,Generalized Anxiety T,35,0.09484111754985208,-0.24618626064398066,0.41497226663335535,0.5878636094536009,0.08308226018082894,0.6351488599806145,P27,0.22659972619329133,0.017760927232632433,0.22659972619329133,0.8547531392862968,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Angry,LOT,Obsessive Compulsive,Obsessive Compulsive T,35,0.21010511778837634,-0.13241252892233848,0.5077973168877106,0.22572884283015332,0.19089933759448194,0.2719860187441978,P30,0.2866790415713247,0.1651414829165574,0.2866790415713247,0.7105548198254538,1.0,1.0,0.844094540930269,1.0,1.0
All 35 participants; T scores,Neutral Angry,ROT,Social Phobia,Social Phobia T,35,-0.22205094996413652,-0.5170378748739032,0.12008133890380193,0.1998294002540248,0.01724864646788419,0.9216578990411077,P27,0.07946021272031895,-0.2565445572413422,0.07946021272031895,0.6917171547254705,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Angry,ROT,Panic Disorder,Panic Disorder T,35,-0.1568329049382669,-0.46573810230750723,0.18614217885891857,0.368266606165132,0.09977598026963705,0.5684936834477037,P27,0.053114877329666195,-0.20391826069374647,0.053114877329666195,0.7553951423357717,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Angry,ROT,Major Depression,Major Depression T,35,-0.28977316081487114,-0.5681552771166357,0.04812014950966177,0.09131405325587956,-0.061320533795409346,0.7263899851034965,P27,0.05226650354688642,-0.3278927010374471,0.05226650354688642,0.5542899746379294,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Angry,ROT,Separation Anxiety,Separation Anxiety T,35,-0.5730402287614422,-0.7609692818403407,-0.2963942126280056,0.0003207920368884819,-0.06389124977429603,0.7153867084854539,P27,0.06063219250344039,-0.6286977209633097,0.06063219250344039,0.011548513327985349,0.06666896370420984,0.05645939849237281,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Angry,ROT,Generalized Anxiety,Generalized Anxiety T,35,-0.41745251816564055,-0.6590197831412499,-0.09781322171921776,0.012592546208296702,-0.02267159981205671,0.8971421850238871,P27,0.06334023505295568,-0.5355454932188305,0.06334023505295568,0.202706786406084,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Angry,ROT,Obsessive Compulsive,Obsessive Compulsive T,35,-0.04152173732067357,-0.36965339688965837,0.29581803412607494,0.8127912294927203,-0.0618446078893366,0.7241423667193752,P27,0.006613547940347242,-0.08759824334005986,0.006613547940347242,0.9397045357055679,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Angry,O,Social Phobia,Social Phobia T,35,-0.03972800017786278,-0.3681011727778642,0.29745663788933646,0.8207444987895147,-0.09157208246771038,0.6008529387128896,P4,-0.1083973610784933,-0.1083973610784933,0.01713230631753946,0.9397045357055679,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Angry,O,Panic Disorder,Panic Disorder T,35,0.015360405520651994,-0.3195217074145265,0.346831587833561,0.9302119751519065,-0.17408023638017073,0.31724597133741106,P4,-0.21709239264769187,-0.21709239264769187,0.07292390717821066,0.9723072696212857,1.0,1.0,0.8523026095631938,1.0,1.0
All 35 participants; T scores,Neutral Angry,O,Major Depression,Major Depression T,35,-0.09863929330035666,-0.41814103862535235,0.24258118685460375,0.5729294276237143,-0.2301274037173257,0.18353827856334404,P4,-0.23436071657534735,-0.23436071657534735,-0.058493289315670834,0.8453057128874474,1.0,1.0,0.7857134098506081,1.0,1.0
