Variant,Condition,ROI,RCADS Scale,N,Partial Pearson r,Partial Pearson p,Degrees of Freedom,Covariates,Partial Pearson q (BH-FDR),Partial Pearson q (BY-FDR),Partial Pearson p (Holm)
All 35 participants; focused post-hoc,Neutral Happy,LOT,Social Phobia,35,0.18886610225932293,0.29251081339394835,31,Age; Sex,0.7800288357171956,1.0,1.0
All 35 participants; focused post-hoc,Neutral Happy,LOT,Panic Disorder,35,0.20906899540109902,0.24294386982516983,31,Age; Sex,0.7800288357171956,1.0,1.0
All 35 participants; focused post-hoc,Neutral Happy,ROT,Social Phobia,35,0.239046264771302,0.1803146495360956,31,Age; Sex,0.7800288357171956,1.0,1.0
All 35 participants; focused post-hoc,Neutral Happy,ROT,Panic Disorder,35,0.11742205302025574,0.5151843089185847,31,Age; Sex,0.8012389389906726,1.0,1.0
All 35 participants; focused post-hoc,Neutral Happy,O,Social Phobia,35,0.09136451841735603,0.6130871644214348,31,Age; Sex,0.8012389389906726,1.0,1.0
All 35 participants; focused post-hoc,Neutral Happy,O,Panic Disorder,35,0.11952708069926994,0.5076271350072042,31,Age; Sex,0.8012389389906726,1.0,1.0
All 35 participants; focused post-hoc,Neutral Happy,Frontal,Social Phobia,35,0.10994645857226049,0.5424633157926229,31,Age; Sex,0.8012389389906726,1.0,1.0
All 35 participants; focused post-hoc,Neutral Happy,Frontal,Panic Disorder,35,-0.026198322023964007,0.8849322777338824,31,Age; Sex,0.9280352847590161,1.0,1.0
All 35 participants; focused post-hoc,Neutral Happy,PO,Social Phobia,35,0.09810850584723982,0.5870109523293663,31,Age; Sex,0.8012389389906726,1.0,1.0
All 35 participants; focused post-hoc,Neutral Happy,PO,Panic Disorder,35,0.1594176484233292,0.3755313955631904,31,Age; Sex,0.8012389389906726,1.0,1.0
All 35 participants; focused post-hoc,Neutral Happy,CP,Social Phobia,35,0.09442084944429514,0.6012092421419756,31,Age; Sex,0.8012389389906726,1.0,1.0
All 35 participants; focused post-hoc,Neutral Happy,CP,Panic Disorder,35,0.2264805806810099,0.2050082383479971,31,Age; Sex,0.7800288357171956,1.0,1.0
All 35 participants; focused post-hoc,Neutral Sad,LOT,Social Phobia,35,-0.3318559979679306,0.05919748332195065,31,Age; Sex,0.7800288357171956,1.0,1.0
All 35 participants; focused post-hoc,Neutral Sad,LOT,Panic Disorder,35,-0.24299322801535228,0.17301131922849478,31,Age; Sex,0.7800288357171956,1.0,1.0
All 35 participants; focused post-hoc,Neutral Sad,ROT,Social Phobia,35,0.2734450706028428,0.12361681814838132,31,Age; Sex,0.7800288357171956,1.0,1.0
All 35 participants; focused post-hoc,Neutral Sad,ROT,Panic Disorder,35,0.10311944219605641,0.5679583113985367,31,Age; Sex,0.8012389389906726,1.0,1.0
