Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,Pearson q (BH-FDR),Pearson q (BY-FDR),Pearson p (Holm),Spearman q (BH-FDR),Spearman q (BY-FDR),Spearman p (Holm)
All 35 participants; focused T scores,Neutral Happy,LOT,Social Phobia,Social Phobia T,35,0.22348642479864236,-0.11859241803453763,0.5181436612065646,0.19686272576325062,0.24372477692018474,0.15827134511429233,P20,0.1331925881385557,0.1331925881385557,0.26585273472721194,0.47758148921611604,1.0,1.0,0.5426446118204308,1.0,1.0
All 35 participants; focused T scores,Neutral Happy,LOT,Panic Disorder,Panic Disorder T,35,0.2782077674679523,-0.06066294668858621,0.5595751091902336,0.10560770443842585,0.39643009368063126,0.018390736001159126,P7,0.3277649478866199,0.23415346606405926,0.3277649478866199,0.45243210528027894,1.0,1.0,0.2206888320139095,0.8333117999817917,0.4229869280266599
All 35 participants; focused T scores,Neutral Happy,ROT,Social Phobia,Social Phobia T,35,0.27691358175548264,-0.062059879124069045,0.5586112079461881,0.1073068893012134,0.12074052527518932,0.48962655354726936,P27,0.07187864542299294,0.07187864542299294,0.30211231211473255,0.45243210528027894,1.0,1.0,0.8097047758599608,1.0,1.0
All 35 participants; focused T scores,Neutral Happy,ROT,Panic Disorder,Panic Disorder T,35,0.17498036052944554,-0.1680664051047196,0.4802242598905358,0.31471100087324605,0.0685344180413445,0.6956563828800011,P27,-0.044318627569481975,-0.044318627569481975,0.2490909769436805,0.6294220017464921,1.0,1.0,0.8800842113333167,1.0,1.0
All 35 participants; focused T scores,Neutral Happy,O,Social Phobia,Social Phobia T,35,0.13157930066144147,-0.21091554182356848,0.4453001687767561,0.45118078763682823,0.16645645005998808,0.33922618710618746,P4,0.2121948140228048,0.08852806986389851,0.2121948140228048,0.7218892602189252,1.0,1.0,0.7011848207849284,1.0,1.0
All 35 participants; focused T scores,Neutral Happy,O,Panic Disorder,Panic Disorder T,35,0.24803652221642,-0.09288788545418403,0.5369040224316329,0.15081070176009298,0.33605788559082267,0.04840818655932205,P24,0.2912291862610096,0.21946496769770302,0.2912291862610096,0.45243210528027894,1.0,1.0,0.2904491193559323,1.0,1.0
All 35 participants; focused T scores,Neutral Happy,Frontal,Social Phobia,Social Phobia T,35,0.10418337937726706,-0.2373019940690321,0.4227524855806362,0.5514443157565759,0.030711004686720632,0.8609763625201828,P20,-0.005682374128254911,-0.005682374128254911,0.15803150389769471,0.7226944757807517,1.0,1.0,0.8800842113333167,1.0,1.0
All 35 participants; focused T scores,Neutral Happy,Frontal,Panic Disorder,Panic Disorder T,35,0.053606901806444694,-0.2847260790593984,0.3800638658265722,0.7597227341604291,0.11624112793049395,0.5060654849124755,P8,0.18966556321963896,-0.05001909261328974,0.18966556321963896,0.8682545533262047,1.0,1.0,0.8097047758599608,1.0,1.0
All 35 participants; focused T scores,Neutral Happy,PO,Social Phobia,Social Phobia T,35,0.1019844619749277,-0.23939826472082462,0.420925447106086,0.5599204942503017,0.03211333366784942,0.8546941766214895,P20,-0.010136177123327175,-0.010136177123327175,0.15809616001306948,0.7226944757807517,1.0,1.0,0.8800842113333167,1.0,1.0
All 35 participants; focused T scores,Neutral Happy,PO,Panic Disorder,Panic Disorder T,35,0.25330426208490486,-0.08731257914188872,0.5408925667773551,0.14204691632681338,0.3705361862481726,0.0284393595637819,P20,0.20121241487114291,0.20121241487114291,0.30508563348431533,0.45243210528027894,1.0,1.0,0.2275148765102552,0.8590866585194774,0.6256659104032019
All 35 participants; focused T scores,Neutral Happy,CP,Social Phobia,Social Phobia T,35,0.06404859831727897,-0.27506901210558654,0.3889924971045827,0.7147150213321231,0.2280186923315422,0.18769820346431196,P25,0.3049824843638149,-0.07862428143198633,0.3049824843638149,0.8576580255985476,1.0,1.0,0.563094610392936,1.0,1.0
All 35 participants; focused T scores,Neutral Happy,CP,Panic Disorder,Panic Disorder T,35,0.24891120443821083,-0.09196361120281232,0.5375671958392473,0.14932895812054522,0.5377207624968733,0.0008642489903788388,P8,0.32189511800786663,0.19573531010163187,0.32189511800786663,0.45243210528027894,1.0,1.0,0.020741975769092133,0.07832083302806853,0.020741975769092133
All 35 participants; focused T scores,Neutral Sad,LOT,Social Phobia,Social Phobia T,35,-0.35194628343694706,-0.6132659973559473,-0.021184341938837066,0.038136565983900146,-0.20586189442970723,0.23545480718588935,P27,-0.28323745598392225,-0.3974196769282707,-0.28323745598392225,0.45243210528027894,1.0,0.9152775836136036,0.5650915372461344,1.0,1.0
All 35 participants; focused T scores,Neutral Sad,LOT,Panic Disorder,Panic Disorder T,35,-0.29571414770582877,-0.5725393873165515,0.04163538584221283,0.08457363465812816,-0.31565236071198294,0.06472583923346276,P35,-0.3767705379128786,-0.3767705379128786,-0.24550530984954155,0.45243210528027894,1.0,1.0,0.3106840283206212,1.0,1.0
