Stimulus Family,Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,Pearson q (BH-FDR),Pearson q (BY-FDR),Pearson p (Holm),Spearman q (BH-FDR),Spearman q (BY-FDR),Spearman p (Holm)
Facial expression,All 35 participants,Neutral Happy,LOT,Social Phobia,Social Phobia Raw,35,0.250605155808527,-0.09017194570527245,0.5388505144987841,0.1464895197884311,0.2498253521240357,0.1477917106934293,P20,0.1609973698257866,0.1609973698257866,0.2994660874870243,0.4582051347418783,1.0,1.0,0.6730081732870978,1.0,1.0
Facial expression,All 35 participants,Neutral Happy,LOT,Panic Disorder,Panic Disorder Raw,35,0.30555249451359484,-0.030833667006057077,0.579764878619336,0.07426339100326322,0.4068963919424156,0.015274207671225434,P7,0.3613756941731144,0.25107399643627654,0.3613756941731144,0.4020133413770234,1.0,1.0,0.21994859046564624,1.0,1.0
Facial expression,All 35 participants,Neutral Happy,LOT,Major Depression,Major Depression Raw,35,-0.014992158632205843,-0.3465075221379413,0.31985239570342666,0.9318811269922692,-0.027432217006647386,0.8756968837119573,P27,-0.141789363957753,-0.141789363957753,0.05836613353665931,0.9739435704460515,1.0,1.0,0.9689128125656853,1.0,1.0
Facial expression,All 35 participants,Neutral Happy,LOT,Separation Anxiety,Separation Anxiety Raw,35,0.30003516282142356,-0.03690094818170072,0.5757181372197739,0.07991724948368055,0.04400439825388362,0.8018138062545277,P27,0.13048185861348435,0.13048185861348435,0.3711564168423478,0.4020133413770234,1.0,1.0,0.9689128125656853,1.0,1.0
Facial expression,All 35 participants,Neutral Happy,LOT,Generalized Anxiety,Generalized Anxiety Raw,35,0.13532414686929073,-0.20726948548881005,0.4483516872882582,0.4382872421015309,0.09139182983187558,0.6015727453707312,P27,-0.02712146792906449,-0.02712146792906449,0.23954074793934305,0.748014554736175,1.0,1.0,0.9689128125656853,1.0,1.0
Facial expression,All 35 participants,Neutral Happy,LOT,Obsessive Compulsive,Obsessive Compulsive Raw,35,0.1797821883955702,-0.16324463495133915,0.48402964880350324,0.3014031835431444,0.1806125101990428,0.2991388253434057,P20,0.08264906698223556,0.08264906698223556,0.22020569511964908,0.6028063670862888,1.0,1.0,0.9124935671603224,1.0,1.0
Facial expression,All 35 participants,Neutral Happy,ROT,Social Phobia,Social Phobia Raw,35,0.29646230030132753,-0.04081673512230319,0.5730903613148867,0.08375277945354655,0.12849364653934384,0.46195663153872113,P27,0.08014566458382,0.08014566458382,0.325198743850038,0.4020133413770234,1.0,1.0,0.9689128125656853,1.0,1.0
Facial expression,All 35 participants,Neutral Happy,ROT,Panic Disorder,Panic Disorder Raw,35,0.21818349939828866,-0.12408513876731271,0.5140537618078561,0.20797672716512067,0.08375614187409944,0.6323979031815732,P27,-0.040002325363375724,-0.040002325363375724,0.31698250528367966,0.5163560122720237,1.0,1.0,0.9689128125656853,1.0,1.0
Facial expression,All 35 participants,Neutral Happy,ROT,Major Depression,Major Depression Raw,35,0.3292497143458148,-0.004489414772297338,0.59699335430714,0.05343828426478058,0.013083057341631827,0.9405389309428918,P27,-0.04935327516057078,-0.04935327516057078,0.3591652513083738,0.38475564670642015,1.0,1.0,0.9689128125656853,1.0,1.0
Facial expression,All 35 participants,Neutral Happy,ROT,Separation Anxiety,Separation Anxiety Raw,35,0.6088160961790916,0.3457090244705036,0.7831687708801206,0.00010410545561822416,-0.13244042192916428,0.44819795384349037,P27,-0.11219760912502866,-0.11219760912502866,0.6622170029522363,0.006342796742605566,0.03083113080848287,0.00749559280451214,0.9689128125656853,1.0,1.0
