Stimulus Family,Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,Pearson q (BH-FDR),Pearson q (BY-FDR),Pearson p (Holm),Spearman q (BH-FDR),Spearman q (BY-FDR),Spearman p (Holm)
Facial expression,All 35 participants,Neutral Happy,ROT minus LOT,Social Phobia,Social Phobia Raw,35,0.2706757901655326,-0.06877431990197196,0.5539546443277917,0.11578760289340818,0.030332926396172973,0.8626715397248765,P27,-0.06354593476234083,-0.06354593476234083,0.3032297638345975,0.15438347052454424,0.4790844342709892,0.5345952042828875,0.8626715397248765,1.0,1.0
Facial expression,All 35 participants,Neutral Happy,ROT minus LOT,Panic Disorder,Panic Disorder Raw,35,0.17731404163033737,-0.16572508055249835,0.48207510943942217,0.3081981089306162,-0.10073373819993041,0.5647683830898554,P27,-0.28507700955377396,-0.28507700955377396,0.27895680469562734,0.3698377307167395,1.0,0.9245943267918486,0.7258207446534785,1.0,1.0
Facial expression,All 35 participants,Neutral Happy,ROT minus LOT,Major Depression,Major Depression Raw,35,0.35362680428785964,0.02310280808037834,0.6144621157542995,0.0371623672127703,0.17078313562087138,0.32664008178221926,P27,0.07089152582416314,0.07089152582416314,0.3894412608762942,0.06370691522189194,0.19769597959243748,0.22297420327662182,0.5599544259123759,1.0,1.0
Facial expression,All 35 participants,Neutral Happy,ROT minus LOT,Separation Anxiety,Separation Anxiety Raw,35,0.5946506732349167,0.3260074960978518,0.7744317346496843,0.0001651579039651322,-0.09057215951284786,0.6048506205445654,P27,-0.26263056750845787,-0.26263056750845787,0.6535356721171064,0.0009909474237907933,0.0030751186270529516,0.001816736943616454,0.7258207446534785,1.0,1.0
Facial expression,All 35 participants,Neutral Happy,ROT minus LOT,Generalized Anxiety,Generalized Anxiety Raw,35,0.4865041629256479,0.18291245162343678,0.7053889393654692,0.0030423841828086527,0.11519621341599202,0.5099223791547183,P27,0.009055453382411233,0.009055453382411233,0.5595492184217119,0.009127152548425959,0.02832347724993324,0.027381457645277874,0.7258207446534785,1.0,1.0
Facial expression,All 35 participants,Neutral Happy,ROT minus LOT,Obsessive Compulsive,Obsessive Compulsive Raw,35,0.020660054829972678,-0.31475353377989607,0.351486651794378,0.9062261267773639,-0.062766049643639,0.7201960456833632,P27,-0.14188733207797816,-0.14188733207797816,0.08509362337644968,0.9062261267773639,1.0,1.0,0.7856684134727598,1.0,1.0
Facial expression,All 35 participants,Neutral Sad,ROT minus LOT,Social Phobia,Social Phobia Raw,35,0.42303135146934656,0.10451928035753331,0.6628354992664253,0.011343717128154783,0.5044253315511726,0.00200214460071793,P3,0.4600080904913053,0.3912115310823524,0.4600080904913053,0.02722492110757148,0.0844846658944591,0.09074973702523827,0.02402573520861516,0.07455691805123682,0.02402573520861516
Facial expression,All 35 participants,Neutral Sad,ROT minus LOT,Panic Disorder,Panic Disorder Raw,35,0.2772076152741623,-0.06174261853200583,0.558830269048626,0.10691904085657751,0.20358967594058971,0.24077757460740323,P27,0.17410386398287275,0.17410386398287275,0.3668373599155811,0.15438347052454424,0.4790844342709892,0.5345952042828875,0.48211649405134666,1.0,1.0
Facial expression,All 35 participants,Neutral Sad,ROT minus LOT,Major Depression,Major Depression Raw,35,0.3940768871144458,0.07002656437962759,0.6428953531273449,0.01916003315714001,0.3100543911930812,0.0698852158791401,P27,0.20788208482395337,0.20788208482395337,0.42159633843178684,0.03832006631428002,0.11891523897621506,0.13412023209998006,0.2795408635165604,0.867474192660824,0.7528177901253985
Facial expression,All 35 participants,Neutral Sad,ROT minus LOT,Separation Anxiety,Separation Anxiety Raw,35,0.6825354753097881,0.45212620692865924,0.8275529574276759,6.2860808535643016e-06,0.3115910141731307,0.06843798092049078,P27,0.3016642648357075,0.3016642648357075,0.7286432322468792,7.543297024277163e-05,0.00023408439874651724,7.543297024277162e-05,0.2795408635165604,0.867474192660824,0.7528177901253985
