Stimulus Family,Variant,RCADS Scale,Effect,Correction Family,N Participants,N Rows,Likelihood-Ratio Chi-Square,Degrees of Freedom,p,Converged,Warnings,Focused Amplitude LMM q (BH-FDR),Focused Amplitude LMM q (BY-FDR),Focused Amplitude LMM p (Holm)
Facial expression,All 35 participants,Social Phobia,Any score-related amplitude association,Amplitude omnibus (2 scales),35,420,31.47720618749463,12,0.001665307760935339,True,,0.003330615521870678,0.0049959232828060175,0.003330615521870678
Facial expression,All 35 participants,Social Phobia,Condition moderation of score slopes,Amplitude moderation (4 tests),35,420,7.093170022868435,6,0.31231682371670716,True,,0.6246336474334143,1.0,1.0
Facial expression,All 35 participants,Social Phobia,Condition x ROI x score interaction,Amplitude moderation (4 tests),35,420,1.6028778870127098,5,0.9009011034050246,True,,0.9009011034050246,1.0,1.0
Facial expression,All 35 participants,Panic Disorder,Any score-related amplitude association,Amplitude omnibus (2 scales),35,420,20.364185802475276,12,0.06050286606522376,True,,0.06050286606522376,0.09075429909783564,0.06050286606522376
Facial expression,All 35 participants,Panic Disorder,Condition moderation of score slopes,Amplitude moderation (4 tests),35,420,7.622826605911541,6,0.26705821521454576,True,,0.6246336474334143,1.0,1.0
Facial expression,All 35 participants,Panic Disorder,Condition x ROI x score interaction,Amplitude moderation (4 tests),35,420,1.6933992853878408,5,0.8897302855812872,True,,0.9009011034050246,1.0,1.0
Facial expression,P27 omitted,Social Phobia,Any score-related amplitude association,Amplitude omnibus (2 scales),34,408,8.432045549969189,12,0.7505221498931783,True,,0.7505221498931783,1.0,0.7505221498931783
Facial expression,P27 omitted,Social Phobia,Condition moderation of score slopes,Amplitude moderation (4 tests),34,408,7.089896684422911,6,0.31261361034370105,True,,0.6252272206874021,1.0,0.9378408310311032
Facial expression,P27 omitted,Social Phobia,Condition x ROI x score interaction,Amplitude moderation (4 tests),34,408,2.5453712150433603,5,0.7696471105870493,True,,0.7696471105870493,1.0,1.0
Facial expression,P27 omitted,Panic Disorder,Any score-related amplitude association,Amplitude omnibus (2 scales),34,408,16.598433471941917,12,0.16533734383449267,True,,0.33067468766898533,0.496012031503478,0.33067468766898533
Facial expression,P27 omitted,Panic Disorder,Condition moderation of score slopes,Amplitude moderation (4 tests),34,408,10.124220314718059,6,0.11951736600261198,True,,0.4780694640104479,0.9959780500217663,0.4780694640104479
Facial expression,P27 omitted,Panic Disorder,Condition x ROI x score interaction,Amplitude moderation (4 tests),34,408,3.083079107660069,5,0.6871790936491863,True,,0.7696471105870493,1.0,1.0
Valence,All 35 participants,Social Phobia,Any score-related amplitude association,Amplitude omnibus (2 scales),35,420,18.226233408462576,12,0.10899197608581787,True,The MLE may be on the boundary of the parameter space.,0.21753427288492888,0.3263014093273933,0.21798395217163574
Valence,All 35 participants,Social Phobia,Condition moderation of score slopes,Amplitude moderation (4 tests),35,420,14.644586259144035,6,0.023208663317302328,True,The MLE may be on the boundary of the parameter space.,0.05060615897747511,0.1054294978697398,0.09283465326920931
Valence,All 35 participants,Social Phobia,Condition x ROI x score interaction,Amplitude moderation (4 tests),35,420,12.802348833601172,5,0.025303079488737557,True,The MLE may be on the boundary of the parameter space.,0.05060615897747511,0.1054294978697398,0.09283465326920931
Valence,All 35 participants,Panic Disorder,Any score-related amplitude association,Amplitude omnibus (2 scales),35,420,15.454155268730574,12,0.21753427288492888,True,The MLE may be on the boundary of the parameter space.,0.21753427288492888,0.3263014093273933,0.21798395217163574
Valence,All 35 participants,Panic Disorder,Condition moderation of score slopes,Amplitude moderation (4 tests),35,420,10.627051569414562,6,0.10060971051621428,True,The MLE may be on the boundary of the parameter space.,0.1329311705964863,0.27693993874267975,0.20121942103242857
Valence,All 35 participants,Panic Disorder,Condition x ROI x score interaction,Amplitude moderation (4 tests),35,420,8.453897522266288,5,0.1329311705964863,True,The MLE may be on the boundary of the parameter space.,0.1329311705964863,0.27693993874267975,0.20121942103242857
Valence,P27 omitted,Social Phobia,Any score-related amplitude association,Amplitude omnibus (2 scales),34,408,5.57885944501777,12,0.9358077304023543,True,,0.9358077304023543,1.0,1.0
Valence,P27 omitted,Social Phobia,Condition moderation of score slopes,Amplitude moderation (4 tests),34,408,1.9132991319747816,6,0.9274971651207478,True,,0.9897427864575382,1.0,1.0
Valence,P27 omitted,Social Phobia,Condition x ROI x score interaction,Amplitude moderation (4 tests),34,408,1.2382083349102686,5,0.9411596981258389,True,,0.9897427864575382,1.0,1.0
Valence,P27 omitted,Panic Disorder,Any score-related amplitude association,Amplitude omnibus (2 scales),34,408,7.1630993475982905,12,0.8466496293431517,True,,0.9358077304023543,1.0,1.0
Valence,P27 omitted,Panic Disorder,Condition moderation of score slopes,Amplitude moderation (4 tests),34,408,0.8803971948245817,6,0.9897427864575382,True,,0.9897427864575382,1.0,1.0
Valence,P27 omitted,Panic Disorder,Condition x ROI x score interaction,Amplitude moderation (4 tests),34,408,0.8566170320282254,5,0.9732824733080839,True,,0.9897427864575382,1.0,1.0
