Stimulus Family,Variant,RCADS Scale,Effect,Correction Family,N Participants,N Rows,Likelihood-Ratio Chi-Square,Degrees of Freedom,p,Converged,Warnings,Focused Lateralization LMM q (BH-FDR),Focused Lateralization LMM q (BY-FDR),Focused Lateralization LMM p (Holm)
Facial expression,All 35 participants,Social Phobia,Average score slope across conditions,Four focused lateralization model tests,35,70,4.073337309908993,1,0.04356512164707895,True,,0.1742604865883158,0.3630426803923245,0.1742604865883158
Facial expression,All 35 participants,Social Phobia,Condition x score interaction,Four focused lateralization model tests,35,70,0.12000788960313002,1,0.7290259327869704,True,,0.8210093735913473,1.0,1.0
Facial expression,All 35 participants,Panic Disorder,Average score slope across conditions,Four focused lateralization model tests,35,70,1.6907892699060199,1,0.19349695870694122,True,,0.38699391741388245,0.8062373279455883,0.5804908761208236
Facial expression,All 35 participants,Panic Disorder,Condition x score interaction,Four focused lateralization model tests,35,70,0.051187672343587565,1,0.8210093735913473,True,,0.8210093735913473,1.0,1.0
Facial expression,P27 omitted,Social Phobia,Average score slope across conditions,Four focused lateralization model tests,34,68,2.670360017604537,1,0.1022328953933345,True,,0.13631052719111267,0.28398026498148465,0.204465790786669
Facial expression,P27 omitted,Social Phobia,Condition x score interaction,Four focused lateralization model tests,34,68,6.283007978018077,1,0.012190101865796126,True,,0.0487604074631845,0.10158418221496769,0.0487604074631845
Facial expression,P27 omitted,Panic Disorder,Average score slope across conditions,Four focused lateralization model tests,34,68,0.11183430363416846,1,0.7380653938285224,True,,0.7380653938285224,1.0,0.7380653938285224
Facial expression,P27 omitted,Panic Disorder,Condition x score interaction,Four focused lateralization model tests,34,68,4.351934613478761,1,0.03696693056062026,True,,0.07393386112124052,0.15402887733591772,0.11090079168186079
Valence,All 35 participants,Social Phobia,Average score slope across conditions,Four focused lateralization model tests,35,70,1.1271780735125958,1,0.28837806226451324,True,The Hessian matrix at the estimated parameter values is not positive definite. | The MLE may be on the boundary of the parameter space.,0.38450408301935096,0.8010501729569811,0.5767561245290265
Valence,All 35 participants,Social Phobia,Condition x score interaction,Four focused lateralization model tests,35,70,6.298998787437654,1,0.012080618500403003,True,The Hessian matrix at the estimated parameter values is not positive definite. | The MLE may be on the boundary of the parameter space.,0.04832247400161201,0.10067182083669167,0.04832247400161201
Valence,All 35 participants,Panic Disorder,Average score slope across conditions,Four focused lateralization model tests,35,70,0.6842700203690129,1,0.4081202244721355,True,The Hessian matrix at the estimated parameter values is not positive definite. | The MLE may be on the boundary of the parameter space.,0.4081202244721355,0.8502504676502821,0.5767561245290265
Valence,All 35 participants,Panic Disorder,Condition x score interaction,Four focused lateralization model tests,35,70,4.323023176563311,1,0.037600064520344645,True,The Hessian matrix at the estimated parameter values is not positive definite. | The MLE may be on the boundary of the parameter space.,0.07520012904068929,0.15666693550143598,0.11280019356103393
Valence,P27 omitted,Social Phobia,Average score slope across conditions,Four focused lateralization model tests,34,68,1.1653185353883373,1,0.2803652476347088,True,The MLE may be on the boundary of the parameter space.,0.37382033017961175,0.7787923545408577,1.0
Valence,P27 omitted,Social Phobia,Condition x score interaction,Four focused lateralization model tests,34,68,1.1725860730638828,1,0.27887050863262886,True,The MLE may be on the boundary of the parameter space.,0.37382033017961175,0.7787923545408577,1.0
Valence,P27 omitted,Panic Disorder,Average score slope across conditions,Four focused lateralization model tests,34,68,0.5330302938550631,1,0.4653356398857684,True,The MLE may be on the boundary of the parameter space.,0.4653356398857684,0.9694492497620174,1.0
Valence,P27 omitted,Panic Disorder,Condition x score interaction,Four focused lateralization model tests,34,68,1.3087624480279487,1,0.25261884315572986,True,The MLE may be on the boundary of the parameter space.,0.37382033017961175,0.7787923545408577,1.0
