Stimulus Family,Variant,Condition,ROI,RCADS Scale,N,Partial Pearson r,Partial Pearson p,Degrees of Freedom,Covariates,Partial Pearson q (BH-FDR),Partial Pearson q (BY-FDR),Partial Pearson p (Holm)
Facial expression,All 35 participants,Neutral Happy,ROT minus LOT,Social Phobia,35,0.21953194629425407,0.2196232612430305,31,Age; Sex,0.4209477909565475,0.8769745644928072,0.6588697837290916
Facial expression,All 35 participants,Neutral Happy,ROT minus LOT,Panic Disorder,35,0.08707265428025808,0.6299306090991842,31,Age; Sex,0.6299306090991842,1.0,0.6588697837290916
Facial expression,All 35 participants,Neutral Sad,ROT minus LOT,Social Phobia,35,0.35993042443277545,0.03964325674708271,31,Age; Sex,0.15857302698833084,0.33036047289235587,0.15857302698833084
Facial expression,All 35 participants,Neutral Sad,ROT minus LOT,Panic Disorder,35,0.1801663969253751,0.3157108432174106,31,Age; Sex,0.4209477909565475,0.8769745644928072,0.6588697837290916
Facial expression,P27 omitted,Neutral Happy,ROT minus LOT,Social Phobia,34,-0.0529435481729787,0.7735150657558363,30,Age; Sex,0.7735150657558363,1.0,1.0
Facial expression,P27 omitted,Neutral Happy,ROT minus LOT,Panic Disorder,34,-0.31334654569285114,0.08075601830910309,30,Age; Sex,0.16151203661820618,0.33648340962126283,0.24226805492730927
Facial expression,P27 omitted,Neutral Sad,ROT minus LOT,Social Phobia,34,0.40860964780369197,0.02023971426119973,30,Age; Sex,0.08095885704479892,0.16866428550999774,0.08095885704479892
Facial expression,P27 omitted,Neutral Sad,ROT minus LOT,Panic Disorder,34,0.12030035600769669,0.5119304677421166,30,Age; Sex,0.6825739569894888,1.0,1.0
Valence,All 35 participants,Negative Valence,ROT minus LOT,Social Phobia,35,-0.17609146685163657,0.3269617548512398,31,Age; Sex,0.43594900646831974,0.9082270968089993,0.8401402873872095
Valence,All 35 participants,Negative Valence,ROT minus LOT,Panic Disorder,35,-0.12772857819600175,0.47872020869349263,31,Age; Sex,0.47872020869349263,0.9973337681114428,0.8401402873872095
Valence,All 35 participants,Positive Valence,ROT minus LOT,Social Phobia,35,0.2776949106916529,0.11765793654767584,31,Age; Sex,0.43594900646831974,0.9082270968089993,0.47063174619070336
Valence,All 35 participants,Positive Valence,ROT minus LOT,Panic Disorder,35,0.19372234991244905,0.2800467624624032,31,Age; Sex,0.43594900646831974,0.9082270968089993,0.8401402873872095
Valence,P27 omitted,Negative Valence,ROT minus LOT,Social Phobia,34,0.09841137012012177,0.5920596784054775,30,Age; Sex,0.7894129045406366,1.0,1.0
Valence,P27 omitted,Negative Valence,ROT minus LOT,Panic Disorder,34,0.01918056429666962,0.9170152225523369,30,Age; Sex,0.9170152225523369,1.0,1.0
Valence,P27 omitted,Positive Valence,ROT minus LOT,Social Phobia,34,0.2668752088352616,0.13979852400623768,30,Age; Sex,0.28765025889199647,0.5992713726916592,0.5591940960249507
Valence,P27 omitted,Positive Valence,ROT minus LOT,Panic Disorder,34,0.2642882947829477,0.14382512944599823,30,Age; Sex,0.28765025889199647,0.5992713726916592,0.5591940960249507
