Stimulus Family,Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,Pearson q (BH-FDR),Pearson q (BY-FDR),Pearson p (Holm),Spearman q (BH-FDR),Spearman q (BY-FDR),Spearman p (Holm)
Facial expression,All 35 participants,Neutral Happy,ROT minus LOT,Social Phobia,Social Phobia T,35,0.25474223709619964,-0.0857869288796001,0.5419791073873279,0.13972076131014363,0.03169263497351078,0.8565779281351859,P27,-0.05120756028469874,-0.05120756028469874,0.2836014753718106,0.24638759200494353,0.5133074833436323,0.41916228393043087,0.8565779281351859,1.0,1.0
Facial expression,All 35 participants,Neutral Happy,ROT minus LOT,Panic Disorder,Panic Disorder T,35,0.13621026361146002,-0.2064053499666345,0.44907268081583473,0.4352661831654814,-0.09245813686481177,0.5973200484631567,P27,-0.2746467595462046,-0.2746467595462046,0.21401725621157544,0.4352661831654814,0.9068045482614193,0.4352661831654814,0.7964267312842089,1.0,1.0
Facial expression,All 35 participants,Neutral Sad,ROT minus LOT,Social Phobia,Social Phobia T,35,0.40285431194257015,0.08040167704110837,0.6489759589906092,0.016420703605213412,0.48520582747056334,0.003133326488526942,P27,0.44199021433925556,0.37250536142320756,0.44199021433925556,0.06568281442085365,0.13683919671011174,0.06568281442085365,0.012533305954107768,0.026111054071057845,0.012533305954107768
Facial expression,All 35 participants,Neutral Sad,ROT minus LOT,Panic Disorder,Panic Disorder T,35,0.2294890246707141,-0.11234961688086126,0.5227569842038752,0.18479069400370765,0.18660500682304473,0.28311868463367706,P27,0.1515146142575872,0.1515146142575872,0.293533078608324,0.24638759200494353,0.5133074833436323,0.41916228393043087,0.5662373692673541,1.0,0.8493560539010312
Facial expression,P27 omitted,Neutral Happy,ROT minus LOT,Social Phobia,Social Phobia T,34,-0.05120756028469874,-0.38274539362261556,0.29201485357601575,0.7736460565896117,-0.046202134987150124,0.7952771923529962,P24,0.05926799885454179,-0.14941733495779722,0.05926799885454179,0.7736460565896117,1.0,0.7846786170566065,0.7952771923529962,1.0,1.0
Facial expression,P27 omitted,Neutral Happy,ROT minus LOT,Panic Disorder,Panic Disorder T,34,-0.2746467595462046,-0.5607336914874906,0.07002234097511749,0.11596183217614153,-0.1686399893647452,0.34038597881806787,P8,-0.14265700134210418,-0.3596987444651403,-0.14265700134210418,0.23192366435228307,0.483174300733923,0.3478854965284246,0.6192575275391067,1.0,1.0
Facial expression,P27 omitted,Neutral Sad,ROT minus LOT,Social Phobia,Social Phobia T,34,0.44199021433925556,0.12206979148534526,0.6787116452869951,0.008866629853651782,0.444733796051806,0.008405639255902932,P24,0.4912989043519149,0.40247435573772333,0.4912989043519149,0.03546651941460713,0.07388858211376484,0.03546651941460713,0.03362255702361173,0.07004699379919109,0.03362255702361173
Facial expression,P27 omitted,Neutral Sad,ROT minus LOT,Panic Disorder,Panic Disorder T,34,0.1515146142575872,-0.1967309984754434,0.4658134092030024,0.39233930852830323,0.12978214117778658,0.46444314565433,P20,0.06039201715306058,0.06039201715306058,0.23965421456734812,0.5231190780377376,1.0,0.7846786170566065,0.6192575275391067,1.0,1.0
Valence,All 35 participants,Negative Valence,ROT minus LOT,Social Phobia,Social Phobia T,35,-0.23692379535549976,-0.5284472932347544,0.10457974192682534,0.1705750109820141,-0.07544529918472923,0.6666535331957963,P27,0.023887697429706794,-0.27217343926684406,0.023887697429706794,0.2551458564338266,0.531553867570472,0.5117250329460423,0.7701058079814326,1.0,1.0
Valence,All 35 participants,Negative Valence,ROT minus LOT,Panic Disorder,Panic Disorder T,35,-0.17801812172211,-0.4826329838601951,0.16501793421499383,0.3062499686798434,-0.05122490383377699,0.7701058079814326,P27,-0.012494943309813954,-0.2183856798276162,-0.012494943309813954,0.3062499686798434,0.6380207680830069,0.5117250329460423,0.7701058079814326,1.0,1.0
Valence,All 35 participants,Positive Valence,ROT minus LOT,Social Phobia,Social Phobia T,35,0.3116043732352264,-0.024149925708085426,0.5841881853277139,0.0684255027967328,0.33459569489733065,0.04945519208168495,P27,0.2701773036821342,0.2701773036821342,0.3425173111817,0.2551458564338266,0.531553867570472,0.2737020111869312,0.1978207683267398,0.41212660068070783,0.1978207683267398
Valence,All 35 participants,Positive Valence,ROT minus LOT,Panic Disorder,Panic Disorder T,35,0.22618984796312727,-0.11578415731494361,0.5202235124960498,0.19135939232536994,0.21967602990254362,0.2048057202863726,P35,0.25830355801028965,0.2207639428552836,0.25830355801028965,0.2551458564338266,0.531553867570472,0.5117250329460423,0.4096114405727452,0.8533571678598856,0.6144171608591178
Valence,P27 omitted,Negative Valence,ROT minus LOT,Social Phobia,Social Phobia T,34,0.023887697429706794,-0.31683741281349737,0.35915216396168226,0.8933258778036539,0.0001529872019442057,0.999314862517653,P23,0.14375666297726505,-0.04084005945609223,0.14375666297726505,0.9440863249048816,1.0,1.0,0.999314862517653,1.0,1.0
Valence,P27 omitted,Negative Valence,ROT minus LOT,Panic Disorder,Panic Disorder T,34,-0.012494943309813954,-0.34918520734020875,0.3270526700242031,0.9440863249048816,0.019812894925366236,0.9114438415871082,P4,0.03517514117380262,-0.05463042154474025,0.03517514117380262,0.9440863249048816,1.0,1.0,0.999314862517653,1.0,1.0
Valence,P27 omitted,Positive Valence,ROT minus LOT,Social Phobia,Social Phobia T,34,0.2701773036821342,-0.07482473299531911,0.5574149533675485,0.12225821380358547,0.2816494387792827,0.10658912518537467,P25,0.2045657922383222,0.2045657922383222,0.31332610387934046,0.4013810326977687,0.836210484787018,0.48903285521434187,0.42635650074149867,0.888242709878122,0.42635650074149867
Valence,P27 omitted,Positive Valence,ROT minus LOT,Panic Disorder,Panic Disorder T,34,0.22503712534026016,-0.1224467499764833,0.5233741367728192,0.20069051634888435,0.15758162940640125,0.37343306289170064,P8,0.06409711757380722,0.06409711757380722,0.26708911923350165,0.4013810326977687,0.836210484787018,0.602071549046653,0.7468661257834013,1.0,1.0
