Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,BCA MAD-Outlier Count,BCA MAD-Outlier PIDs,Descriptive Only (N < 20),Pearson_q_bh,Pearson_q_by,Pearson_p_holm,Spearman_q_bh,Spearman_q_by,Spearman_p_holm
All audit data; RCADS raw composites,Angry Neutral,LOT,Total Anxiety,Total Anxiety Raw,13,0.4912756086534158,-0.08187099641952919,0.8202350590871673,0.08821163349264433,0.27510342394036474,0.36298813596125046,P8,0.21667938833449676,0.21667938833449676,0.605388079355322,3,P11; P4; P8,True,0.3402448720430567,1.0,1.0,0.8694057360357393,1.0,1.0
All audit data; RCADS raw composites,Angry Neutral,LOT,Total Internalizing,Total Internalizing Raw,13,0.49603015699555947,-0.07562343168589454,0.8222815359058502,0.08471189155344383,0.2912087912087912,0.3343858561975295,P8,0.23309404224470803,0.23309404224470803,0.601370150329861,3,P11; P4; P8,True,0.3402448720430567,1.0,1.0,0.8694057360357393,1.0,1.0
All audit data; RCADS raw composites,Angry Neutral,ROT,Total Anxiety,Total Anxiety Raw,13,0.5304916332429249,-0.028957847646596268,0.8368666066020456,0.06217193547970808,0.6024764984293989,0.029319882957085108,P4,0.645344076305056,0.43133205194990265,0.645344076305056,0,,True,0.29193778399167275,1.0,1.0,0.395818419920649,1.0,1.0
All audit data; RCADS raw composites,Angry Neutral,ROT,Total Internalizing,Total Internalizing Raw,13,0.5066290135845325,-0.061532897844086935,0.826813379102093,0.07725813942583264,0.6098901098901099,0.026877834421252016,P4,0.6163639437299797,0.4027259441067003,0.6163639437299797,0,,True,0.333755162319597,1.0,1.0,0.395818419920649,1.0,1.0
All audit data; RCADS raw composites,Angry Neutral,O,Total Anxiety,Total Anxiety Raw,13,-0.1564849807763214,-0.6513134362692744,0.4317239601974911,0.6096815546939235,0.11279240381554954,0.7137117223981637,P4,0.1250201530473837,-0.20358126873959292,0.1250201530473837,1,P4,True,0.9326860930695248,1.0,1.0,0.9592297983207306,1.0,1.0
All audit data; RCADS raw composites,Angry Neutral,O,Total Internalizing,Total Internalizing Raw,13,-0.14712459928100824,-0.6457621653444847,0.43948705829398327,0.6314835893353179,0.12087912087912088,0.6940473279966857,P4,0.1446752121361975,-0.1993161854857125,0.1446752121361975,1,P4,True,0.9472253840029768,1.0,1.0,0.9592297983207306,1.0,1.0
All audit data; RCADS raw composites,Angry Neutral,Frontal,Total Anxiety,Total Anxiety Raw,13,0.039754345158263656,-0.5226797657671323,0.5780774051056188,0.897402899378494,0.12929860925197142,0.673759606071033,P1,0.16861255611982004,-0.07791500233607726,0.16861255611982004,2,P1; P4,True,0.9796133907291149,1.0,1.0,0.9574478612588364,1.0,1.0
All audit data; RCADS raw composites,Angry Neutral,Frontal,Total Internalizing,Total Internalizing Raw,13,0.01772966621584655,-0.5385162859076235,0.5632130606789418,0.9541567559156022,0.13736263736263735,0.6545168402947126,P7,0.15641290992816317,-0.11503420115901476,0.15641290992816317,2,P1; P4,True,0.9796133907291149,1.0,1.0,0.9552407939436345,1.0,1.0
All audit data; RCADS raw composites,Angry Neutral,PO,Total Anxiety,Total Anxiety Raw,13,0.2050157985068052,-0.39002725164777285,0.6792702619332904,0.501642950824021,0.2613482527433465,0.3884161158728965,P7,0.3099141287870149,0.11168712770613187,0.3099141287870149,1,P4,True,0.8465224795155355,1.0,1.0,0.87257098090372,1.0,1.0
All audit data; RCADS raw composites,Angry Neutral,PO,Total Internalizing,Total Internalizing Raw,13,0.19663946112226316,-0.3974026062705126,0.6745412824320386,0.5196470084040358,0.2747252747252747,0.3636749816401783,P7,0.31242885386395447,0.10337359524232251,0.31242885386395447,1,P4,True,0.8634134908867056,1.0,1.0,0.8694057360357393,1.0,1.0
