Variant,Condition,RCADS Scale,N Participants,N Rows,Likelihood-Ratio Chi-Square,Degrees of Freedom,p,Converged,Warnings,Descriptive Only (N < 20),LMM Omnibus_q_bh,LMM Omnibus_q_by,LMM Omnibus_p_holm
All audit data,Angry Neutral,Social Phobia,13,78,1.5023856018849528,6,0.9593359354733471,True,The Hessian matrix at the estimated parameter values is not positive definite. | The MLE may be on the boundary of the parameter space.,True,0.9999009209323119,1.0,1.0
All audit data,Angry Neutral,Panic Disorder,13,78,4.0963476107249335,6,0.6636396763266537,True,The Hessian matrix at the estimated parameter values is not positive definite. | The MLE may be on the boundary of the parameter space.,True,0.8959135630409825,1.0,1.0
All audit data,Angry Neutral,Major Depression,13,78,0.6621506177755236,6,0.9952717547674125,True,The Hessian matrix at the estimated parameter values is not positive definite. | The MLE may be on the boundary of the parameter space.,True,0.9999009209323119,1.0,1.0
All audit data,Angry Neutral,Separation Anxiety,13,78,4.208739337091629,6,0.6484515940528888,True,The Hessian matrix at the estimated parameter values is not positive definite. | The MLE may be on the boundary of the parameter space.,True,0.8959135630409825,1.0,1.0
All audit data,Angry Neutral,Generalized Anxiety,13,78,0.17180979869363,6,0.9999009209323119,True,The Hessian matrix at the estimated parameter values is not positive definite. | The MLE may be on the boundary of the parameter space.,True,0.9999009209323119,1.0,1.0
All audit data,Angry Neutral,Obsessive Compulsive,13,78,0.6489570349174301,6,0.9955270916851626,True,The Hessian matrix at the estimated parameter values is not positive definite. | The MLE may be on the boundary of the parameter space.,True,0.9999009209323119,1.0,1.0
All audit data,Neutral Angry,Social Phobia,35,210,5.408659105335573,6,0.4925645020528435,True,,False,0.7599566603101015,1.0,1.0
All audit data,Neutral Angry,Panic Disorder,35,210,4.165277365686052,6,0.654321023674131,True,,False,0.8959135630409825,1.0,1.0
All audit data,Neutral Angry,Major Depression,35,210,9.95805231857912,6,0.12642967874874925,True,,False,0.24382866615830212,1.0,1.0
All audit data,Neutral Angry,Separation Anxiety,35,210,35.015328568112864,6,4.280133177107591e-06,True,,False,2.5680799062645548e-05,0.00011750070856686775,0.0001968861261469492
All audit data,Neutral Angry,Generalized Anxiety,35,210,20.234024169973736,6,0.002515843078424028,True,,False,0.007991501543229265,0.0365645590525454,0.09683964296362647
All audit data,Neutral Angry,Obsessive Compulsive,35,210,3.6235379317422485,6,0.7274675261712036,True,,False,0.9353153907915475,1.0,1.0
All audit data,Neutral Fear,Social Phobia,12,72,1.3198682357278244,6,0.9705508517790976,True,,True,0.9999009209323119,1.0,1.0
All audit data,Neutral Fear,Panic Disorder,12,72,1.4199324690134176,6,0.9646346816834002,True,,True,0.9999009209323119,1.0,1.0
All audit data,Neutral Fear,Major Depression,12,72,4.541703216147766,6,0.603782826836202,True,,True,0.8959135630409825,1.0,1.0
All audit data,Neutral Fear,Separation Anxiety,12,72,3.695744827261649,6,0.7177704493545787,True,,True,0.9353153907915475,1.0,1.0
All audit data,Neutral Fear,Generalized Anxiety,12,72,2.2825520701175037,6,0.8919657959323019,True,,True,0.9999009209323119,1.0,1.0
All audit data,Neutral Fear,Obsessive Compulsive,12,72,6.567239837919715,6,0.3627266682318589,True,,True,0.6121012526412619,1.0,1.0
All audit data,Neutral Happy,Social Phobia,35,210,14.377932114413397,6,0.025687884047303062,True,,False,0.05548582954217461,0.25387155090937935,0.7706365214190919
All audit data,Neutral Happy,Panic Disorder,35,210,9.2775654040056,6,0.15855919604815466,True,,False,0.2854065528866784,1.0,1.0
All audit data,Neutral Happy,Major Depression,35,210,18.062169023041406,6,0.006078695360024025,True,,False,0.015630930925776065,0.07151823644031303,0.20667564224081683
All audit data,Neutral Happy,Separation Anxiety,35,210,69.25596546708039,6,5.809685911204761e-13,True,,False,1.0457434640168572e-11,4.784726429322144e-11,3.021036673826476e-11
All audit data,Neutral Happy,Generalized Anxiety,35,210,39.4623820305535,6,5.808720186559249e-07,True,,False,3.920886125927493e-06,1.7939741550978868e-05,2.730098487682847e-05
All audit data,Neutral Happy,Obsessive Compulsive,35,210,1.1163274305470168,6,0.9808158004480817,True,,False,0.9999009209323119,1.0,1.0
All audit data,Neutral Sad,Social Phobia,35,210,20.265942679279306,6,0.0024830677682981146,True,,False,0.007991501543229265,0.0365645590525454,0.09683964296362647
All audit data,Neutral Sad,Panic Disorder,35,210,9.309161987747757,6,0.15692298705833058,True,,False,0.2854065528866784,1.0,1.0
All audit data,Neutral Sad,Major Depression,35,210,17.07793389883318,6,0.009001053040736073,True,,False,0.021132907139119476,0.09669214563250247,0.2947759321668519
All audit data,Neutral Sad,Separation Anxiety,35,210,59.74978576231433,6,5.0598209394436447e-11,True,,False,6.830758268248921e-10,3.1253658992866075e-09,2.580508679116259e-09
All audit data,Neutral Sad,Generalized Anxiety,35,210,28.34533311109044,6,8.088451449137226e-05,True,,False,0.00031198312732386445,0.0014274570830929971,0.0033162650941462625
All audit data,Neutral Sad,Obsessive Compulsive,35,210,2.6577681931366897,6,0.850409887856271,True,,False,0.9999009209323119,1.0,1.0
All audit data,Positive Valence,Social Phobia,35,210,13.250892694773029,6,0.039220317865661415,True,,False,0.08145758325945064,0.3727035022462447,1.0
All audit data,Positive Valence,Panic Disorder,35,210,10.289405621456808,6,0.11298174837609674,True,,False,0.2259634967521935,1.0,1.0
All audit data,Positive Valence,Major Depression,35,210,18.17567568085724,6,0.005807847097778045,True,,False,0.015630930925776065,0.07151823644031303,0.20327464842223156
