Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,BCA MAD-Outlier Count,BCA MAD-Outlier PIDs,Descriptive Only (N < 20),Pearson_q_bh,Pearson_q_by,Pearson_p_holm,Spearman_q_bh,Spearman_q_by,Spearman_p_holm
All audit data; lateralization,Angry Neutral,ROT minus LOT,Social Phobia,Social Phobia Raw,13,0.3793785736782718,-0.2169578696851507,0.7695113626962297,0.20107465065972138,0.37517562577416025,0.206522898099493,P6,0.27722394936383044,0.27722394936383044,0.47648062211607034,0,,True,0.3016119759895821,1.0,1.0,0.5348677450071948,1.0,1.0
All audit data; lateralization,Angry Neutral,ROT minus LOT,Panic Disorder,Panic Disorder Raw,13,0.3149370574883948,-0.2856086893727908,0.7378810426536793,0.29460095123158586,0.4769639068826702,0.09934434331482533,P8,0.5645514416701678,0.22395007766561542,0.5645514416701678,0,,True,0.41864345701330624,1.0,1.0,0.447049544916714,1.0,1.0
All audit data; lateralization,Angry Neutral,ROT minus LOT,Major Depression,Major Depression Raw,13,0.06122141136928828,-0.5068613886211627,0.5922295676921712,0.8425132629283691,-0.019310510150140597,0.950073583735741,P6,-0.12060634761674767,-0.12060634761674767,0.18246942733435415,0,,True,0.8920728666300379,1.0,1.0,0.9904012431912397,1.0,1.0
All audit data; lateralization,Angry Neutral,ROT minus LOT,Separation Anxiety,Separation Anxiety Raw,13,0.16682222742548056,-0.4230482273485236,0.6573831119640549,0.5859448426997517,0.062353227186381616,0.8396353354774302,P4,0.04187508245859419,0.04187508245859419,0.26599292823806964,0,,True,0.6985499150443062,1.0,1.0,0.9253124105261475,1.0,1.0
All audit data; lateralization,Angry Neutral,ROT minus LOT,Generalized Anxiety,Generalized Anxiety Raw,13,0.10452838466826067,-0.4737413912694762,0.6198162361032137,0.7339768040661231,0.14827625875009737,0.6287858679329428,P6,-0.05016541777142013,-0.05016541777142013,0.1905572131013341,0,,True,0.8257239045743885,1.0,1.0,0.8281569967897294,1.0,1.0
All audit data; lateralization,Angry Neutral,ROT minus LOT,Obsessive Compulsive,Obsessive Compulsive Raw,13,-0.17486675556039494,-0.6620629467175729,0.4162210317135246,0.5677319061141225,-0.11421720644876619,0.710234823119658,P11,0.1578339350156308,-0.28158541201302784,0.1578339350156308,0,,True,0.6985499150443062,1.0,1.0,0.8838769651568549,1.0,1.0
All audit data; lateralization,Negative Valence,ROT minus LOT,Social Phobia,Social Phobia Raw,35,-0.2626652257805813,-0.5479485822354562,0.0773521267053397,0.12740319555511959,-0.1061652423866054,0.5438567487619376,P27,0.0006901595934747304,-0.30314840784577723,0.0006901595934747304,1,P27,False,0.22192814709601477,1.0,1.0,0.7843448811344336,1.0,1.0
All audit data; lateralization,Negative Valence,ROT minus LOT,Panic Disorder,Panic Disorder Raw,35,-0.2312101597116405,-0.5240766085086751,0.11055461659701057,0.18142778600038478,-0.1005922582305485,0.5653179786570783,P27,-0.047574071072234714,-0.28703107732221433,-0.047574071072234714,1,P27,False,0.28969991867795036,1.0,1.0,0.7843448811344336,1.0,1.0
All audit data; lateralization,Negative Valence,ROT minus LOT,Major Depression,Major Depression Raw,35,-0.28307483565319663,-0.5631932692121935,0.055397566970418255,0.09939933224400574,-0.009425428407412176,0.957144238756572,P27,0.09503049793807948,-0.3101962888213777,0.09503049793807948,1,P27,False,0.19879866448801148,0.909589451734217,1.0,0.9904012431912397,1.0,1.0
All audit data; lateralization,Negative Valence,ROT minus LOT,Separation Anxiety,Separation Anxiety Raw,35,-0.6348347543278783,-0.7990393417719884,-0.3825108651055734,4.2004390213527126e-05,-0.17573277490385888,0.3126017897768642,P27,-0.1495859768278176,-0.6678734073449204,-0.1495859768278176,1,P27,False,0.00045364741430609296,0.002075632167459596,0.002100219510676356,0.6252035795537284,1.0,1.0
