Variant,Condition,ROI,RCADS Scale,Score Column,N,Partial Pearson r,Partial Pearson p,Covariates,Degrees of Freedom,Descriptive Only (N < 20),Partial Pearson_q_bh,Partial Pearson_q_by,Partial Pearson_p_holm
All audit data; raw RCADS; age/sex adjusted,Angry Neutral,LOT,Social Phobia,Social Phobia Raw,13,0.24209843245010076,0.47322803934263835,Age; Sex,9,True,0.8263060567369844,1.0,1.0
All audit data; raw RCADS; age/sex adjusted,Angry Neutral,LOT,Panic Disorder,Panic Disorder Raw,13,0.5041342218447995,0.11382400463699965,Age; Sex,9,True,0.6469996053050506,1.0,1.0
All audit data; raw RCADS; age/sex adjusted,Angry Neutral,LOT,Major Depression,Major Depression Raw,13,0.3857968999676985,0.24125638616787262,Age; Sex,9,True,0.7758302095492419,1.0,1.0
All audit data; raw RCADS; age/sex adjusted,Angry Neutral,LOT,Separation Anxiety,Separation Anxiety Raw,13,0.4718480461383574,0.14284474869892047,Age; Sex,9,True,0.7268672303023557,1.0,1.0
All audit data; raw RCADS; age/sex adjusted,Angry Neutral,LOT,Generalized Anxiety,Generalized Anxiety Raw,13,0.5269938406154103,0.09577299881578208,Age; Sex,9,True,0.5951903629488642,1.0,1.0
All audit data; raw RCADS; age/sex adjusted,Angry Neutral,LOT,Obsessive Compulsive,Obsessive Compulsive Raw,13,0.49489726206841156,0.12169909813308898,Age; Sex,9,True,0.6788448996622974,1.0,1.0
All audit data; raw RCADS; age/sex adjusted,Angry Neutral,ROT,Social Phobia,Social Phobia Raw,13,0.6557722189244402,0.028463372232957564,Age; Sex,9,True,0.3546974078260866,1.0,1.0
All audit data; raw RCADS; age/sex adjusted,Angry Neutral,ROT,Panic Disorder,Panic Disorder Raw,13,0.5924515314834328,0.05478085919606457,Age; Sex,9,True,0.5071142394149978,1.0,1.0
All audit data; raw RCADS; age/sex adjusted,Angry Neutral,ROT,Major Depression,Major Depression Raw,13,0.3134930773381771,0.34785449011586045,Age; Sex,9,True,0.7970400089985665,1.0,1.0
All audit data; raw RCADS; age/sex adjusted,Angry Neutral,ROT,Separation Anxiety,Separation Anxiety Raw,13,0.5555610791260176,0.07600079195479398,Age; Sex,9,True,0.561824277007943,1.0,1.0
All audit data; raw RCADS; age/sex adjusted,Angry Neutral,ROT,Generalized Anxiety,Generalized Anxiety Raw,13,0.5532341626205531,0.07749905386422526,Age; Sex,9,True,0.561824277007943,1.0,1.0
