Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,BCA MAD-Outlier Count,BCA MAD-Outlier PIDs,Descriptive Only (N < 20),Pearson_q_bh,Pearson_q_by,Pearson_p_holm,Spearman_q_bh,Spearman_q_by,Spearman_p_holm
All audit data; raw RCADS scores,Angry Neutral,LOT,Social Phobia,Social Phobia Raw,13,0.3139290373519378,-0.2866357284661049,0.7373710571449845,0.2962332372182952,0.23724341041601307,0.4351286333150973,P8,0.11954503421628751,0.11954503421628751,0.46937116433390735,3,P11; P4; P8,True,0.73266846457044,1.0,1.0,0.9817465616303366,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,LOT,Panic Disorder,Panic Disorder Raw,13,0.5399631037497622,-0.015690224052976418,0.8408004161833419,0.05680664003605641,0.3563200951417595,0.2320834262534437,P8,0.07427359381569361,0.07427359381569361,0.731322996022666,3,P11; P4; P8,True,0.460133784292057,1.0,1.0,0.939937876326447,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,LOT,Major Depression,Major Depression Raw,13,0.4303944630360253,-0.15807749882249558,0.7932642654823876,0.1420873993341566,0.26482985348764254,0.38189415941154337,P8,0.2473316439514092,0.2473316439514092,0.49421727675832283,3,P11; P4; P8,True,0.5807225464230688,1.0,1.0,0.9671159828181435,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,LOT,Separation Anxiety,Separation Anxiety Raw,13,0.44191538133013003,-0.14417490742285255,0.7984797447354978,0.13055529088756498,0.41946716470838535,0.15362505707958368,P8,0.12226727977944099,0.12226727977944099,0.6005280728799929,3,P11; P4; P8,True,0.5807225464230688,1.0,1.0,0.8159757130128706,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,LOT,Generalized Anxiety,Generalized Anxiety Raw,13,0.500859550566642,-0.06923123614897178,0.8243516252801009,0.08125650746586242,0.34691049217003916,0.24552459399983512,P8,0.21416188208928383,0.21416188208928383,0.5599512187359739,3,P11; P4; P8,True,0.4933800098718015,1.0,1.0,0.9584333548909225,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,LOT,Obsessive Compulsive,Obsessive Compulsive Raw,13,0.488246627160356,-0.08582778320215284,0.8189269035165915,0.09049241860814171,0.31757954963803287,0.2903465120960303,P11,0.1703759393960999,0.1703759393960999,0.618907942899402,3,P11; P4; P8,True,0.5053915151059031,1.0,1.0,0.9671159828181435,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,ROT,Social Phobia,Social Phobia Raw,13,0.5233933462723193,-0.038773551761706875,0.8338975662019226,0.06642074340167699,0.5903498817328697,0.03365994437462631,P4,0.6739342813582208,0.4566451592120465,0.6739342813582208,0,,True,0.4890982014123488,1.0,1.0,0.4949622315993461,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,ROT,Panic Disorder,Panic Disorder Raw,13,0.6091370749636781,0.08752861452067891,0.8685985043390826,0.027118795935481596,0.7631422510122723,0.002406671463852946,P4,0.6967710835333291,0.5565721342912447,0.6967710835333291,0,,True,0.3138032101105728,1.0,1.0,0.25579064812092595,1.0,0.7749482113606486
All audit data; raw RCADS scores,Angry Neutral,ROT,Major Depression,Major Depression Raw,13,0.32186205791404204,-0.2785155422000995,0.741371586336852,0.2835272291289106,0.3310373168595532,0.2692327266949956,P8,0.2124871326502363,0.2124871326502363,0.4294700374085645,0,,True,0.73266846457044,1.0,1.0,0.9671159828181435,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,ROT,Separation Anxiety,Separation Anxiety Raw,13,0.4201227640345738,-0.17027896213749366,0.7885689645206911,0.15291621393534677,0.3911247887145756,0.18632776032057086,P8,0.28796129818751276,0.28796129818751276,0.550624610398575,0,,True,0.5807225464230688,1.0,1.0,0.8269957158746317,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,ROT,Generalized Anxiety,Generalized Anxiety Raw,13,0.4032580434081155,-0.1899269964492552,0.7807656151975785,0.1718325431726225,0.5063774119578798,0.07742958953515268,P4,0.6101648671337767,0.2656494981235367,0.6101648671337767,0,,True,0.6117993844827438,1.0,1.0,0.6618690169220286,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,ROT,Obsessive Compulsive,Obsessive Compulsive Raw,13,0.15445420540075927,-0.43341563250331633,0.6501135463603593,0.6143872414327606,0.14764663272645387,0.6302602214328223,P1,0.2660790094223238,0.09503919188546946,0.2660790094223238,0,,True,0.8959811826921057,1.0,1.0,0.9829942383802484,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,O,Social Phobia,Social Phobia Raw,13,-0.12947969329353015,-0.6351523336124021,0.45388651151346276,0.6733254315827282,0.013793221535814715,0.9643285043715936,P4,-0.001470985701581504,-0.18124735141561796,-0.001470985701581504,1,P4,True,0.9313861943529572,1.0,1.0,0.9829942383802484,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,O,Panic Disorder,Panic Disorder Raw,13,-0.21768286242659385,-0.686347594391645,0.3787269748290354,0.47496635184428904,-0.03647371052632183,0.9058342003997277,P4,0.23275749045662195,-0.2755344229721205,0.23275749045662195,1,P4,True,0.8676222578540709,1.0,1.0,0.9829942383802484,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,O,Major Depression,Major Depression Raw,13,-0.08350411405710151,-0.6065809078547936,0.4900271096436299,0.7862261908806195,0.16827730273693953,0.5826334072609224,P4,0.1995542803414928,-0.149196294522322,0.1995542803414928,1,P4,True,0.9780801907553272,1.0,1.0,0.9829942383802484,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,O,Separation Anxiety,Separation Anxiety Raw,13,-0.22631403993164637,-0.6911196826881321,0.3709238783447371,0.4571806305357371,-0.11053526637585831,0.719230151517998,P4,0.045370453268829894,-0.2627518568601327,0.045370453268829894,1,P4,True,0.8612007226370861,1.0,1.0,0.9829942383802484,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,O,Generalized Anxiety,Generalized Anxiety Raw,13,-0.008171743648657063,-0.5566507198990435,0.5452686362298277,0.9788626386302958,0.15946691978784058,0.6027968512673798,P4,0.2154418724960429,-0.050995275175853574,0.2154418724960429,1,P4,True,0.9887494314917847,1.0,1.0,0.9829942383802484,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,O,Obsessive Compulsive,Obsessive Compulsive Raw,13,-0.08394609585518811,-0.6068621628441636,0.4896888147544532,0.7851184554669879,-0.041786782847109585,0.8921844093937465,P4,0.10632620005140561,-0.13245289888898332,0.10632620005140561,1,P4,True,0.9780801907553272,1.0,1.0,0.9829942383802484,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,Frontal,Social Phobia,Social Phobia Raw,13,0.14258725679254255,-0.443218862724936,0.6430521428969185,0.6421528361042388,0.15724272550828777,0.6079292395803791,P6,0.025067883633837783,0.025067883633837783,0.24981639662482344,2,P1; P4,True,0.9208634682894011,1.0,1.0,0.9829942383802484,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,Frontal,Panic Disorder,Panic Disorder Raw,13,0.05175347826693239,-0.5138854767049412,0.5860279553197285,0.866655333198382,0.2889840141700884,0.33826077542034527,P1,0.1881757856482697,-0.07926214288257592,0.1881757856482697,2,P1; P4,True,0.9887494314917847,1.0,1.0,0.9671159828181435,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,Frontal,Major Depression,Major Depression Raw,13,-0.07560030482768101,-0.6015291179127789,0.4960476936432952,0.8060962359278596,0.049655597528932977,0.8720198262373685,P6,-0.25086490858209515,-0.25086490858209515,0.0794998573514068,2,P1; P4,True,0.9780801907553272,1.0,1.0,0.9829942383802484,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,Frontal,Separation Anxiety,Separation Anxiety Raw,13,-0.07828726797131666,-0.6032512466584571,0.49400709636273343,0.7993286240005094,-0.04251356399071474,0.8903192846227672,P1,0.119059471406306,-0.23240929054174309,0.119059471406306,2,P1; P4,True,0.9780801907553272,1.0,1.0,0.9829942383802484,1.0,1.0
All audit data; raw RCADS scores,Angry Neutral,Frontal,Generalized Anxiety,Generalized Anxiety Raw,13,0.030119319523175366,-0.5296557803416909,0.5716184407033043,0.9221902741942628,0.06714396622645918,0.8274743740065711,P7,0.21916859869948468,-0.10978933365323795,0.21916859869948468,2,P1; P4,True,0.9887494314917847,1.0,1.0,0.9829942383802484,1.0,1.0
