Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,BCA MAD-Outlier Count,BCA MAD-Outlier PIDs,Descriptive Only (N < 20),Pearson_q_bh,Pearson_q_by,Pearson_p_holm,Spearman_q_bh,Spearman_q_by,Spearman_p_holm
All audit data; RCADS T scores,Angry Neutral,LOT,Social Phobia,Social Phobia T,13,0.3149752526971152,-0.28556974636705584,0.7379003571833268,0.29453920338589823,0.2692307692307692,0.37373304228189164,P8,0.1376445758148226,0.1376445758148226,0.4654673932755332,3,P11; P4; P8,True,0.7875559048622089,1.0,1.0,0.9844634883820393,1.0,1.0
All audit data; RCADS T scores,Angry Neutral,LOT,Panic Disorder,Panic Disorder T,13,0.5141588186661312,-0.05138296722552232,0.8300079019675897,0.07224859507248631,0.2889067231876921,0.3383958355073424,P8,0.08371179678651619,0.08371179678651619,0.679230089708113,3,P11; P4; P8,True,0.5348892207357069,1.0,1.0,0.947493832951765,1.0,1.0
All audit data; RCADS T scores,Angry Neutral,LOT,Major Depression,Major Depression T,13,0.43640191868101336,-0.1508571400173471,0.7959904796833182,0.1359937672295306,0.21517425595870956,0.4801957872242605,P8,0.2727931218839503,0.2727931218839503,0.5185622233686238,3,P11; P4; P8,True,0.6433143351611045,1.0,1.0,0.987801668201174,1.0,1.0
All audit data; RCADS T scores,Angry Neutral,LOT,Separation Anxiety,Separation Anxiety T,13,0.4498332055960672,-0.134484206750282,0.8020333508798508,0.12300055053157548,0.37345291387552554,0.20878224360202818,P8,0.1541753432590804,0.1541753432590804,0.5833458349614821,3,P11; P4; P8,True,0.6129586208055512,1.0,1.0,0.9045360698982794,1.0,1.0
All audit data; RCADS T scores,Angry Neutral,LOT,Generalized Anxiety,Generalized Anxiety T,13,0.516678584295156,-0.04796011342249459,0.8310723059656575,0.07062421124311057,0.39834977480056055,0.1776064247525439,P8,0.25364990868325105,0.25364990868325105,0.6010589974283455,3,P11; P4; P8,True,0.5348892207357069,1.0,1.0,0.885299717228065,1.0,1.0
All audit data; RCADS T scores,Angry Neutral,LOT,Obsessive Compulsive,Obsessive Compulsive T,13,0.4699711939447332,-0.109322993327194,0.8109605228613024,0.10511707621656305,0.3779342700813232,0.2029366669647055,P11,0.1810396486469041,0.1810396486469041,0.5978990500789338,3,P11; P4; P8,True,0.5918689559693144,1.0,1.0,0.9007052068022545,1.0,1.0
All audit data; RCADS T scores,Angry Neutral,ROT,Social Phobia,Social Phobia T,13,0.5070767147514909,-0.06093267924953949,0.8270038958117018,0.0769537139725843,0.6098901098901099,0.026877834421252016,P4,0.6976447223945651,0.43997263922522833,0.6976447223945651,0,,True,0.554066740602607,1.0,1.0,0.5066092385423435,1.0,1.0
All audit data; RCADS T scores,Angry Neutral,ROT,Panic Disorder,Panic Disorder T,13,0.6195292698400662,0.10406760218044088,0.8726381957300797,0.023930908449000865,0.8056052858118338,0.000886674246426557,P4,0.7269017593153742,0.5567231501284932,0.7269017593153742,0,,True,0.3462114282877582,1.0,1.0,0.14364122792110223,0.913486618321789,0.2863957815957779
All audit data; RCADS T scores,Angry Neutral,ROT,Major Depression,Major Depression T,13,0.29922740618732596,-0.3014594931863886,0.7298778225802707,0.32062439633212414,0.27310578640913136,0.3666243713942686,P6,0.18316873822096247,0.18316873822096247,0.39724048424750297,0,,True,0.7875559048622089,1.0,1.0,0.9844634883820393,1.0,1.0
All audit data; RCADS T scores,Angry Neutral,ROT,Separation Anxiety,Separation Anxiety T,13,0.41690926398307004,-0.1740593681113465,0.7870911645429736,0.1564110986162099,0.3568550065921688,0.23133304975131475,P8,0.2885787665378011,0.2885787665378011,0.5298889726628557,0,,True,0.6756959460220268,1.0,1.0,0.9045360698982794,1.0,1.0
