Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,BCA MAD-Outlier Count,BCA MAD-Outlier PIDs,Descriptive Only (N < 20),Pearson_q_bh,Pearson_q_by,Pearson_p_holm,Spearman_q_bh,Spearman_q_by,Spearman_p_holm
All audit data; raw RCADS scores,Neutral Happy,CP,Generalized Anxiety,Generalized Anxiety Raw,35,0.24690984417993755,-0.09407757774556766,0.536049262452733,0.15273504491395942,0.5215710474591225,0.0013129012339561361,P25,0.2692598545978937,0.23119944827250172,0.2692598545978937,2,P25; P20,False,0.5807225464230688,1.0,1.0,0.25579064812092595,1.0,0.4253799998017881
All audit data; raw RCADS scores,Neutral Happy,CP,Panic Disorder,Panic Disorder Raw,35,0.2219618398947158,-0.1201737160363185,0.5169691984267035,0.20001458343912037,0.5033857310608882,0.0020526046535295044,P8,0.30477444700802875,0.1522208773520962,0.30477444700802875,2,P25; P20,False,0.6522988409667192,1.0,1.0,0.25579064812092595,1.0,0.66299130309003
All audit data; raw RCADS scores,Angry Neutral,ROT,Panic Disorder,Panic Disorder Raw,13,0.6091370749636781,0.08752861452067891,0.8685985043390826,0.027118795935481596,0.7631422510122723,0.002406671463852946,P4,0.6967710835333291,0.5565721342912447,0.6967710835333291,0,,True,0.3138032101105728,1.0,1.0,0.25579064812092595,1.0,0.7749482113606486
All audit data; raw RCADS scores,Neutral Happy,CP,Major Depression,Major Depression Raw,35,0.25574206704025143,-0.08472519590913956,0.5427340180027835,0.1381199338529799,0.4708493862628143,0.004307430556926399,P20,0.37554312683667523,0.15377120240949355,0.37554312683667523,2,P25; P20,False,0.5807225464230688,1.0,1.0,0.25579064812092595,1.0,1.0
All audit data; raw RCADS scores,Negative Valence,O,Separation Anxiety,Separation Anxiety Raw,35,-0.27084568361266564,-0.554081706433971,0.06859185084671414,0.11555016039038718,-0.4675289303155338,0.004627639441458205,P4,-0.5515989514023129,-0.5515989514023129,-0.22579660742734584,1,P4,False,0.5626027433391425,1.0,1.0,0.25579064812092595,1.0,1.0
All audit data; raw RCADS scores,Angry Caucasian,PO,Panic Disorder,Panic Disorder Raw,22,0.6113688313330141,0.2556584669341561,0.82128442978819,0.002502350691057003,0.5677082059277613,0.005852885413755053,P27,0.5160282913656731,0.5160282913656731,0.6598931605799924,1,P27,False,0.06756346865853909,0.42966998681519936,0.7832357663008419,0.25579064812092595,1.0,1.0
All audit data; raw RCADS scores,Negative Valence,LOT,Generalized Anxiety,Generalized Anxiety Raw,35,-0.46929266621907867,-0.694003839666203,-0.16126663667526467,0.004455085602159403,-0.4497328184284854,0.006717156194436197,P27,-0.35924193733514354,-0.5498199184857401,-0.35924193733514354,0,,False,0.09622984900664311,0.6119738784116922,1.0,0.25579064812092595,1.0,1.0
All audit data; raw RCADS scores,Angry Caucasian,CP,Social Phobia,Social Phobia Raw,22,0.48938378119744,0.08539467564982785,0.7551776750543027,0.02080001768463513,0.5598659546978035,0.006737072611418264,P27,0.4427171489408138,0.4427171489408138,0.5339227127573848,1,P25,False,0.2905262981629584,1.0,1.0,0.25579064812092595,1.0,1.0
All audit data; raw RCADS scores,Negative Valence,O,Obsessive Compulsive,Obsessive Compulsive Raw,35,-0.11863984773813993,-0.43469995603427336,0.22344072049337735,0.49726725618903417,-0.4463363530214328,0.007196550538210177,P4,-0.2902617069417277,-0.2902617069417277,-0.09515032925970317,1,P4,False,0.8676222578540709,1.0,1.0,0.25579064812092595,1.0,1.0
All audit data; raw RCADS scores,Negative Valence,O,Social Phobia,Social Phobia Raw,35,-0.2033780437224995,-0.5025633425112939,0.13931025778126516,0.24127741275919504,-0.4415125953220732,0.007927530316301123,P4,-0.46629862326368415,-0.46629862326368415,-0.1677951079351977,1,P4,False,0.7083216881166654,1.0,1.0,0.25579064812092595,1.0,1.0
